Quote,all_tags
"If you have ever seen the play Peter Pan you will remember how the pirate chief was always making his dying speech because he was afraid that possibly when the time came for him to die he might not have time to get it off his chest. It is much the same with me, and so, although I am not at this moment dying, I shall be doing so one of these days and I want to send you a parting word of goodbye.

Remember, it is the last you will ever hear from me, so think it over.

I have had a most happy life and I want each one of you to have as happy a life too.

I believe that God put us in this jolly world to be happy and enjoy life. Happiness doesn't come from being rich, nor merely from being successful in your career, nor by self-indulgence. One step towards happiness is to make yourself healthy and strong while you are a boy, so that you can be useful and so can enjoy life when you are a man.

Nature study will show you how full of beautiful and wonderful things God has made the world for you to enjoy. Be contented with what you have got and make the best of it. Look on the bright side of things instead of the gloomy one.

But the real way to get happiness is by giving out happiness to other people. Try and leave this world a little better than you found it and when your turn come to die, you can die happy in feeling that at any rate you have not wasted your time but have done your best. ""Be Prepared"" in this way, to live happy and to die happy - stick to your Scout promise always - even after you have ceased to be a boy - and God help you do it.","anger,fear,optimism,sadness,curiosity,desire,joy,disappointment,love,annoyance,admiration,confusion,realization"
"It's not worth the bother of killing yourself, since you always kill yourself too late.","disappointment,annoyance,admiration,confusion,realization"
"My heart is broke, but I have some glue, help me inhale and mend it with you.","realization,sadness"
"My greatest strength is the love for my people, my greatest weakness is that I love them too much.","joy,love"
"If you look at the world, you'll be distressed. If you look within, you'll be depressed. If you look at God you'll be at rest.","confusion,sadness,curiosity"
Art should comfort the disturbed and disturb the comfortable.,love
"Many that live deserve death. Some that die deserve life. Can you give it to them? Then do not be too eager to deal out death in judgment, for even the very wise cannot see all ends.","admiration,disappointment,curiosity"
"Scientist believe in things, not in person","admiration,love,annoyance"
I wish I could throw off the thoughts which poison my happiness.,"fear,optimism,disappointment,sadness,curiosity,love,desire"
"The minute you start caring about what other people think, is the minute you stop being yourself.","admiration,optimism,realization"
There is no need to carry me to another prison. My life is already ebbing away. I suggest that you nail me to a cross and burn me alive. My flaming body will be a torch to light my people on their path to freedom.,"anger,disappointment,love,annoyance,admiration,gratitude"
"If a machine is expected to be infallible, it cannot also be intelligent.",desire
We're all damaged in our own way. Nobody's perfect. I think we're all somewhat screwy. Every single one of us.,"fear,disappointment,annoyance"
"It's my life and you know what, nobody invited you… so there's the door… see ya!","amusement,joy,disappointment,sadness"
"We live in a world where the funeral matters more than the dead, the wedding more than love and the physical rather than the intellect. We live in the container culture, which despises the content.","optimism,amusement,curiosity,joy,love,annoyance,confusion,realization"
Definition of Good and Evil: Good is what you like. Evil is what you don't like.,
I am firmly convinced that Spain is the strongest country of the world. Century after century trying to destroy herself and still no success,"anger,sadness,curiosity,love,annoyance,admiration,confusion"
"wash the brush, just beats the devil out of it","love,admiration,disappointment,sadness"
In three words I can sum up everything I've learned about life — It goes on.,"love,admiration,disappointment,realization"
"You can close your eyes to the things you don't want to see, but you can't close your heart to the things you don't want to feel.","sadness,curiosity,desire,confusion,realization"
"Everyting negative - pressure, challenges - is all an opportunity for me to rise.",optimism
The tongue may hide the truth but the eyes—never!,sadness
"I'm not interested in money, I just want to be wonderful.","desire,curiosity"
"Women are beautiful in the light of the day, but are even more so in the shadows of the night.","desire,admiration,love"
"The Barbican - an element of medieval fortifications; a circular defensive structure with loop-holes, in front of the town walls. In Europe this kind of building has been preserved only at Carcassonne (southern France), Zgorzelec (Görlitz), and of course in Cracow. (…) It was at that time, that one of the largest European buildings of this kind came to to exist in Cracow, being nowadays the best preserved example of the medieval barbican.","anger,disappointment,sadness,annoyance,admiration,realization,gratitude"
Bless yourself first before expecting God to bless you.,"admiration,confusion"
Change happens by listening and then starting a dialogue with the people who are doing something you don't believe is right.,"realization,optimism,love,annoyance"
"I don't sing my mother tongue
No, this is not a love song","joy,love"
There are two great days in a person's life - the day we are born and the day we discover why.,"joy,excitement,love,annoyance,admiration"
"Solitude was my only consolation - deep, dark, deathlike solitude.",realization
Time is a drug. Too much of it kills you.,"realization,disappointment,annoyance"
Don't ever change yourself to impress someone. They should be impress that you don't change to please others,"sadness,curiosity,love,admiration,confusion"
"Struck intensely tonight by the thought that we live in a great age. We can make music, food, pictures, art, & love with unbelievable unprecedented freedom. It's all there, there for the taking & the making, all the time.","sadness,curiosity,desire,joy,disappointment,excitement,love,annoyance"
"I declare to the whole world, the Bosnians are under protection. No one can disturb these people nor their churches, nor harm them. Nobody in the world will touch these people and not harm them.","optimism,joy,disappointment,sadness,curiosity,admiration,confusion"
"It's not only the question, but the way you try to solve it.","anger,disappointment,sadness,love,annoyance"
There are only two types of people in this world: those who die for freedom and those who died for their religions. Both are considered martyrs.,"admiration,joy,confusion,curiosity"
"Let grammar, punctuation, and spelling into your life! Even the most energetic and wonderful mess has to be turned into sentences.","fear,admiration,sadness,curiosity,desire,confusion,gratitude"
"If you do not want it to rain, always carry an umbrella.",desire
"To the angel of death, we are all like chess pieces on the chessboard.","admiration,love"
"I think everybody deserves an equal amount of appreciation whether how old they are, but I mean, I'm cool with the praise. I'm good.","joy,optimism,love,admiration"
"Before you judge someone else, judge yourself!","joy,love,curiosity,admiration,confusion"
Life would be tragic if it weren't funny.,"realization,sadness"
You get depressed because you know that you're not what you should be.,"disappointment,sadness"
"I was trying to figure out what I’m doing, and that was the first time I was constantly being kicked down for doing that. When I didn’t know, I just wanted to say, ‘This is what I want, this is where I am in my professional life, things changed in my personal life, things changed in my heart — everything.’ And people just thought, ‘Alright, this is what we think.’ And yeah, I made some decisions that weren’t great as well, and so did he and that’s why we went through all that to only make us better. And he has heard [the song] and he has seen the video, and it’s something that I feel like girls need hear, and it’s something I’m willing to share with people.","anger,optimism,sadness,curiosity,desire,disappointment,love,annoyance,admiration,confusion,realization"
It is an acknowledged fact that we perceive errors in the work of others more readily than in our own.,"disappointment,annoyance,realization,gratitude"
Anyone from anywhere can do anything.,admiration
Ever tried. Ever failed. No matter. Try again. Fail again. Fail better.,"anger,disappointment,sadness,love,annoyance,realization"
It would be an incredible adventure. And life needs to be more than just solving every day problems. You need to wake up and be excited about the future,"excitement,realization"
"I speak and speak, … but the listener retains only the words he is expecting. … It is not the voice that commands the story: it is the ear.","optimism,disappointment,sadness,love,admiration"
"Children have never been very good at listening to their elders, but they have never failed to imitate them.","anger,sadness,curiosity,desire,disappointment,annoyance,love"
All the drugs in the world won't save us from ourselves.,"optimism,love,curiosity,confusion,realization"
To me justice doesn't mean looking for the criminals. It means looking for the innocent.,"optimism,joy,love,annoyance,admiration"
The reflective teacher makes the learners decide for themselves and ensures that the decision is sound and reasonable. He or she asks a lot of questions for the learners to carry out self-assessment.,"desire,disappointment,sadness"
"The real struggle is not between East and West, or capitalism and communism, but between education and propaganda.","admiration,love,annoyance,desire,pride"
Play always as if in the presence of a master.,
"I don’t think that everyone should become a mathematician, but I do believe that many students don’t give mathematics a real chance.",
"I just wanna lay my head on your chest,
so I'm as close as it gets to your heart
We can fall apart, start over again","desire,optimism,realization,annoyance"
"Each time we don't say what we wanna say, we're dying.",sadness
"The objective of education reform is to creat learning individual, organization, and society. An educated person or the authentic learning outcome should possess the following abilities and characteristics which are based on Thai cultural heritage and appropriate level of education: good physical and mental health, critical thinking, intellectual inquisitiveness, professionalism, sense of responsibility, honesty, selfsacrifice, perseverance, team spirit, adherence to democracy, and love for King, Country and Religion.","optimism,sadness,desire,joy,disappointment,love,annoyance,admiration,realization"
"The heart of man is very much like the sea, it has its storms, it has its tides and in its depths it has its pearls too","fear,optimism,realization,curiosity"
"When peace comes, we will perhaps in time be able to forgive the Arabs for killing our sons, but it will be harder for us to forgive them for having forced us to kill their sons.","optimism,disappointment,love,annoyance,admiration,realization"
Sadness is almost never anything but a form of fatigue.,sadness
"Learn to pay yourself first, you'll never be broke","admiration,confusion"
"I didn't choose the thug life, the thug life chose me.","confusion,disappointment,sadness,curiosity"
"It's not about the number of hours you practice, it's about the number of hours your mind is present during the practice.",love
"Hey Constantinople! Either I take you, or you take me!",
"Can you imagine how terrible it is when you've got everything and you're still desperately lonely? That is awful beyond words.
I'm so powerful on stage that I seem to have created a monster. When I'm performing I'm an extrovert, yet inside I'm a completely different man.","fear,optimism,sadness,curiosity,disappointment,love,annoyance,admiration,realization"
The best way to know the soul of another country is to read its literature.,"optimism,disappointment,sadness,annoyance,desire"
Follow your heart but take your brain with you.,realization
"I don't think anybody's necessarily ready for death. You can only hope that when it approaches, you feel like you've said what you wanted to say. Nobody wants to go out in mid-sentence.","optimism,admiration,curiosity,desire,confusion"
All I want to tell young people is that you're not going to be anything in life unless you learn to commit to a goal. You have to reach deep within yourself to see if you are willing to make the sacrifices.,"optimism,admiration,disappointment,sadness,desire"
"Watch your thoughts, for they will become actions. Watch your actions, for they'll become… habits. Watch your habits for they will forge your character. Watch your character, for it will make your destiny.","love,sadness,disappointment,realization"
"O son of Adam, if you have collected anything in excess of your actual need, you will act only as its trustee for someone else to use it.","annoyance,confusion,realization,curiosity"
"Every struggle in your life has shaped you into the person you are today. Be thankful for the hard times, they can only make you stronger.","joy,love,annoyance,admiration,realization,gratitude"
"For several years we have witnessed climatic irregularities that prompt fear and anxiety about the conditions of our future existence. However, the climatic anomalies occurred also in the past when the blame for environmental destruction could hardly be put on humans.","fear,anger,optimism,sadness,disappointment,nervousness,annoyance,love,admiration"
Who I am and who I wanna be can not connect; why?,"confusion,love,curiosity"
Being different means you are extraordinary,"joy,optimism,love,admiration"
Music is like a dream. One that I cannot hear.,"realization,disappointment,sadness,annoyance"
Always remember. You will live. You will love. You will dance again.,"joy,admiration,optimism,love"
"Hold me, I can't breathe I don't wanna die, I don't wanna OD Cup full of lean, pure codeine Ten lines deep, now I can't see","admiration,optimism,disappointment,sadness"
"I think everything in life is art. What you do. How you dress. The way you love someone, and how you talk. Your smile and your personality. What you believe in, and all your dreams. The way you drink your tea, How you decorate your home. Or party. Your grocery list. The food you make. How your writing looks. And the way you feel. Life is art.","admiration,love"
"The first gulp from the glass of natural sciences will turn you into an atheist, but at the bottom of the glass God is waiting for you.","fear,optimism,confusion,love"
I will make you shorter by the head.,
"Marlon Brando is not a gangster-actor, he's an actor. Axl Rose and them are not gangster rock-and-rollers, they're rock-and-rollers right. So I'm a rapper, this is what I do. I'm an artist.","optimism,annoyance"
I hate smiling. It makes me feel weak and powerless and small. I've always been like that; I don't smile in any pictures.,"anger,confusion,annoyance,curiosity"
I have completely forgotten the symbolic calculus.,realization
"When I was a kid my parents moved a lot, but I always found them.",annoyance
Dreaming of the person you want to be is wasting the person you already are.,"optimism,disappointment,admiration,love,annoyance,desire,realization"
Love is friendship set to music.,"joy,disappointment,love,sadness,annoyance,admiration"
"What did he mean by ""society""? The plural of human beings?","optimism,sadness,curiosity,joy,disappointment,annoyance,love,admiration,confusion"
"Watch for phonies, keep your enemies close nigga watch your homies",admiration
This growing tendency of women to overshadow the masculine is a sign of a deteriorating civilization.,"joy,disappointment,sadness,curiosity,confusion"
I'm no prophet. My job is making windows where there were once walls.,realization
A philosopher is a blind man in a dark room looking for a black cat that isn't there. A theologian is the man who finds it.,annoyance
Death is the greatest form of love.,"admiration,joy,love"
"I will either find a way, or make one.",optimism
The greatest ideas are the simplest.,admiration
"God is the best option to put your trust in, instead of relying on another human being, who cannot even keep their own promises to themselves.","joy,sadness,love,annoyance,admiration,realization"
"When I die, I want to die like my grandfather who died peacefully in his sleep. Not screaming like all the passengers in his car.","desire,admiration"
"Don't worry about a thing,
'Cos every little thing is gonna be alright.","fear,excitement"
"Don't worry about having few friends, people should recommend or elect you base on what you have done, not because they know you","fear,admiration,excitement,annoyance"
"I'm not saying I'm gonna change the world, but I guarantee that I will spark the brain that will change the world.","optimism,confusion,curiosity"
"Gay marriage is legal in 6 states, but having sex with a horse is legal in 23 states. Good job, America.","admiration,realization"
"If you want the rainbow, you have to put up with the rain.","desire,love"
You can close your eyes if you want. Some things are less scary.,"desire,sadness"
I'm not perfect. But I'll always be real.,fear
"All sort of boundaries, be their gender, age, socio-economic status, physical or mental disabilities have to be eliminated.","optimism,admiration,realization,annoyance,desire,confusion,embarrassment"
"If people hate you, then you're probably doing something right",
Researchers find it very necessary to keep blinkers on. They don't want to admit that the animals they are working with have feelings.,"admiration,curiosity,desire,confusion,realization"
"The hole in one's heart gets filled by others around you. Friends won't flock to someone who abandons the memory of his friends and gives up on the world just because things don't go the way he wants them to. That won't help fill the hole in your heart. And people won't help those who run away and do nothing. As long as you don't give up, there will always be salvation.","optimism,disappointment,curiosity,desire,confusion,realization"
Never get high on your ownly supply.,"fear,annoyance"
Tell me how you read and I'll tell you who you are.,"annoyance,disappointment,sadness,curiosity"
"Those who seek respect without deserving it end up surrounding themselves with flatterers, or people who claim to respect you when they don't.","joy,disappointment,annoyance,admiration"
A solution to one problem can not be totally applicable to other problems. It is said that there are no two problems that are exactly alike.,"optimism,disappointment,sadness"
I always liked strange characters.,love
"If you fear making anyone mad, then you ultimately probe for the lowest common denominator of human achievement.","fear,joy,sadness,annoyance"
Whoever wants to be a leader should educate himself before educating others. Before preaching to others he should first practice himself. Whoever educates himself and improves his own morals is superior to the man who tries to teach and train others.,"anger,optimism,amusement,sadness,desire,joy,love,annoyance,confusion"
"It is not the length of life, but the depth.","realization,disgust,annoyance,surprise,embarrassment"
"Never stop. Never stop fighting. Never stop dreaming. And don’t be afraid of wearing your heart on your sleeve - in declaring the films that you love, the films that you want to make, the life that you’ve had, and the lives you can help reflect in cinema. For myself, for a long time… maybe I felt inauthentic or something, I felt like my voice wasn’t worth hearing, and I think everyone’s voice is worth hearing. So if you’ve got something to say, say it from the rooftops.","joy,admiration,optimism,love,disappointment,desire,realization"
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.","sadness,joy,disappointment,annoyance,confusion,realization,fear,anger,optimism,curiosity,remorse,love,admiration"
Action may not always bring happiness but there is no happiness without action.,"fear,optimism,love,curiosity,admiration,realization"
Jewish history is full of suffering and terrible sorrow. But it is also full of immeasurable joy. We honor the suffering through remembrance. We honor the joy through celebration.,"joy,optimism,disappointment,sadness,love,annoyance,admiration"
I miss the comfort in being sad.,"love,sadness"
"Education is our passport to the future, for tomorrow belongs to the people who prepare for it today.","optimism,realization"
Wizards after all are wizards!,
"Count your age by friends, not years. Count your life by smiles, not tears.","desire,admiration,love"
"I'd rather die like a man, than live like a coward",admiration
The beginning of purpose is found in creating something that only you understand.,"sadness,realization,love,annoyance"
We cannot live in a world that is interpreted for us by others. An interpreted world is not a hope. Part of the terror is to take back our own listening. To use our own voice. To see our own light.,"fear,optimism,love,curiosity,admiration,confusion"
"Bach is an astronomer, discovering the most marvellous stars. Beethoven challenges the universe. I only try to express the soul and the heart of man.","anger,optimism,sadness,love,annoyance,admiration,realization"
"Me, I’m dishonest, and you can always trust a dishonest man to be dishonest. Honestly, it’s the honest ones you have to watch out for.","realization,annoyance"
All the holy scriptures are useless without people having faith into their hearts.,"realization,annoyance"
"If my art has nothing to do with people's pain and sorrow, what is 'art' for?","confusion,sadness,curiosity"
"Wake up in the morning, now you doing the impossible Find out what's important, now you're feeling philosophical When I die, I'll pack my bags, move somewhere more affordable Isn't life horrible? I think that life is horrible","fear,joy,curiosity,admiration,confusion"
"The truth is, indeed, that love is the threshold of another universe.","realization,joy,love"
You know you're in love when you can't fall asleep because reality is finally better than your dreams.,"anger,disgust,embarrassment,joy,love,annoyance,admiration,realization"
"If you can't beat me, join me",
"I took part in all battles. If sometimes I was not there, the operation was likewise carried out under my orders.","anger,optimism,annoyance"
If you ever need anything please don't hesitate to ask someone else first.,"confusion,curiosity"
"Be true to yourself.
Make each day your masterpiece.
Help others.
Drink deeply from good books.
Make friendship a fine art.
Build a shelter against a rainy day.
Pray for guidance and give thanks for your blessings every day.","optimism,disappointment,annoyance,admiration,realization,gratitude"
We will rock you,"optimism,excitement,annoyance"
"Don't believe everything you hear: Real eyes, Realize, Real lies","sadness,realization,annoyance"
"Please read my diary, look through my things and figure me out.","joy,disappointment,sadness,annoyance"
"The game is not about becoming somebody, it's about becoming nobody.",optimism
"Now, bring me that horizon.",
"In one kiss, you'll know all I haven't said.","admiration,joy,excitement"
"Mad Matter: ""Have I gone mad?""
Alice: ""I'm afraid so. You're entirely bonkers. But I'll tell you a secret. All the best people are.",fear
"Michael Jackson: There's a time for this, and this you should not do. You should not go out and say, 'Oh he's Jacko'. I'm not a ""Jacko.""",
Led Zeppelin is the greatest. Robert Plant is one of the most original vocalists of our time. As a rock band they deserve the kind of success they're getting.,"admiration,optimism,annoyance,gratitude"
"If we teach today’s students as we taught yesterday’s, we rob them of tomorrow.","optimism,love"
"What's my guilty pleasure? The thing is, I never feel guilty about pleasures.","joy,excitement,love,curiosity,confusion"
WITH GREAT POWER THERE MUST ALSO COME--GREAT RESPONSIBILITY!,"admiration,love,sadness"
Can’t sleep ‘cause all the dirt make my heart hurt,"realization,sadness"
"There’s no way that Michael Jackson or whoever Jackson should have a million thousand droople billion dollars and then there’s people starving. There’s no way! There’s no way that these people should own planes and there people don’t have houses. Apartments. Shacks. Drawers. Pants! I know you’re rich. I know you got 40 billion dollars, but can you just keep it to one house? You only need ONE house. And if you only got two kids, can you just keep it to two rooms? I mean why have 52 rooms and you know there’s somebody with no room?! It just don’t make sense to me. It don’t.","fear,optimism,curiosity,joy,annoyance,love,admiration,confusion"
"I am too intelligent, too demanding, and too resourceful for anyone to be able to take charge of me entirely. No one knows me or loves me completely. I have only myself","admiration,joy,optimism,love"
"But I love your feet
only because they walked
upon the earth and upon
the wind and upon the waters,
until they found me.","joy,curiosity,love,annoyance"
"Today's scientists have substituted mathematics for experiments, and they wander off through equation after equation, and eventually build a structure which has no relation to reality.","joy,amusement,disappointment,sadness,love,annoyance,remorse"
Love is not what you do. Love is what you are.,"anger,joy,love,annoyance"
"In what terms should we think of these beings, nonhuman yet possessing so very many human-like characteristics? How should we treat them? Surely we should treat them with the same consideration and kindness as we show to other humans; and as we recognize human rights, so too should we recognize the rights of the great apes? Yes.","amusement,sadness,curiosity,desire,gratitude,joy,disappointment,annoyance,admiration,realization"
"Of all things, I liked books best.","admiration,love,annoyance"
"During your life, never stop dreaming. No one can take away your dreams",realization
"What we know is a drop, what we don't know is an ocean.",
"beginnings are usually scary, and endings are usually sad, but its everything in between that makes it all worth living.","fear,disappointment,sadness,realization"
Pure philosophy is not for the impulsive souls. People who are still offended by simple words or a finger pointed at them.,"optimism,amusement,disappointment,annoyance,admiration,desire"
"Every one is a moon, and has a dark side which he never shows to anybody.",admiration
Find out who you are and do it on purpose.,
"Talent wins games, but teamwork and intelligence wins championships.","admiration,love,annoyance"
"Do you hate people?”

“I don't hate them… I just feel better when they're not around.","confusion,curiosity"
"He is half of my soul, as the poets say.",admiration
"Remember that this world which you covet so ardently and attempt to acquire so earnestly, and which sometimes annoys you and sometimes pleases you so much, is neither your home nor a permanent destination. You have not been created for it, nor invited to it as your resting-place. It shall neither remain with you for ever, nor will you remain in it eternally. If it has enticed you away with its charrns, it has also warned and cautioned you of real dangers lurking in its folds. Take account of the warnings it has given you and do not be seduced or deceived by its allurements. Let these warnings frighten you from being too greedy to possess it. Try to advance towards the place where you are invited for eternal bliss and turn your face away from the vicious world.","fear,anger,optimism,sadness,curiosity,disappointment,annoyance,love,admiration,confusion,realization"
"If you're afraid to fail, then you're probably going to fail.","fear,disappointment,sadness,annoyance"
"Dreams are like stars; you may never touch them, but if you follow them, they will lead you to your destiny.","admiration,optimism,disappointment,realization"
You must allow your free-will to roam as freely as you want and delve deep into your dreams. Never limit yourself nor live according to the appetite of someone else.,"optimism,sadness,curiosity,desire,disappointment,admiration,confusion,realization"
It ain't no fun if the homies can't have none.,annoyance
"I obtained scientific guidance and stimulation mainly through personal mathematical contacts in Erlangen and in Göttingen. Above all I am indebted to Mr. E. Fischer from whom I received the decisive impulse to study abstract algebra from an arithmetical viewpoint, and this remained the governing idea for all my later work.","optimism,amusement,disappointment,love,annoyance,admiration,realization"
"In a world that changes at an exponential rate, members of such world community have to be very proficient in finding reasonable solutions to the problems that they face by themselves.","optimism,love,curiosity,admiration,confusion"
"When I came back to my native country, after all the stories about Hitler, I couldn't ride in the front of the bus. I had to go to the back door. I couldn't live where I wanted. I wasn't invited to shake hands with Hitler, but I wasn't invited to the White House to shake hands with the President, either.","fear,amusement,sadness,remorse,desire,joy,disappointment,love,admiration,realization"
"If I am to speak ten minutes, I need a week for preparation; if fifteen minutes, three days; if half an hour, two days; if an hour, I am ready now.",admiration
God should be welcomed in the heart and not in the act of worship alone.,realization
"When the Missionaries arrived, the Africans had the land and the Missionaries had the Bible. They taught how to pray with our eyes closed. When we opened them, they had the land and we had the Bible.","sadness,curiosity"
"Everyone should consider his
body as a priceless gift from
one whom he loves above all, a
marvelous work of art, of
indescribable beauty, and
mystery beyond human conception, and so delicate that
a word, a breath, a look, nay, a
thought may injure it.","sadness,joy,disappointment,love,annoyance,admiration,realization"
The noblest art is that of making others happy,"fear,joy,optimism,curiosity"
You must be willing to pay the price of being called an “adult”. Stop and reflect upon your life.,
First say to yourself what you would be; and then do what you have to do.,"admiration,confusion"
"I do believe it is possible to create, even without ever writing a word or painting a picture, by simply molding one’s inner life. And that too is a deed.","fear,optimism,disappointment,annoyance,curiosity,realization"
You must never be fearful about what you are doing when it is right.,"fear,annoyance"
"I've always been misrepresented. You know, I could dress in a clown costume and laugh with the happy people but they'd still say I'm a dark personality.","fear,optimism,curiosity,disappointment,annoyance,love,admiration"
"The Krzyżtopór castle which was built in the 17th century belongs to the most splendid Polish buildings of the defensive and palatial character. The castle was famous for its design which accounted for the principles of the division of time (4 towers, 12 large halls, 52 rooms and 365 windows).","joy,optimism,disappointment,annoyance,admiration"
I think everybody's weird. We should all celebrate our individuality and not be embarrassed or ashamed of it.,embarrassment
You can say anything about me; as you please… But I am what I am and that's something that you can never be,
"Those who want to live, let them fight, and those who do not want to fight in this world of eternal struggle do not deserve to live.","admiration,love,curiosity,desire,confusion"
Laugh as much as you breathe and love as long as you live.,"joy,love"
All the darkness in the world cannot extinguish the light of a single candle.,"desire,confusion,curiosity"
"My unhappiness was the unhappiness of a person who could not say no. I had been intimidated by the fear that if I declined something offered me, a yawning crevice would open between the other person's heart and myself which could never be mended through all eternity.","fear,optimism,sadness,disappointment,love,annoyance,admiration,realization"
"Where There is a will
there is a will
to search and discover
a better day

Where a positive heart
is all you need
to rise beyond
and succeed

Where young minds grow
and respect each other
based on their deeds
and not their color

when times are dim
say as I say
""Where there's a will
there's a way!","sadness,annoyance,admiration,realization,gratitude"
Love is the only key to open the doors of paradise.,"joy,amusement,love"
"Sweat saves blood, blood saves lives, but brains saves both.","optimism,love,realization"
They got money for wars but they can’t feed the poor. ,"admiration,joy,excitement"
Mozart didn't need a scheme for his music. He played and sang with the heavenly lightness of a child.,"admiration,disappointment,sadness,annoyance"
"Education is the result of self-learning, being taught by one or more people. Learning is the key word here. Schools, colleges and universities only divide you into CLASSES according to your level of understanding.","optimism,disappointment,sadness,love,admiration,realization"
There is nothing on this earth more to be prized than true friendship.,"optimism,surprise,realization,curiosity"
"If you don't like this, I'll stop writing music.","fear,disappointment,annoyance,sadness"
"You must live in the present, launch yourself on every wave, find your eternity in each moment. Fools stand on their island of opportunities and look toward another land. There is no other land; there is no other life but this.","admiration,curiosity"
Living itself is the source of sin.,
"To trust is a profound commitment, and to trust is to make oneself vulnerable... It’s such an optimistic act, because you’re putting your faith in the hands of someone or something which you expect to remain constant, even if the circumstances change.","optimism,love,curiosity,confusion,realization"
A leader leads by example not by force.,"anger,joy,love,annoyance,admiration"
"I didn’t grow up in a man’s man world. I grew up with my mum and my sister. But I definitely think in the last two years, I’ve become a lot more content with who I am. I think there’s so much masculinity in being vulnerable and allowing yourself to be feminine, and I’m very comfortable with that. Growing up you don’t even know what those things mean. You have this idea of what being masculine is and as you grow up and experience more of the world, you become more comfortable with who you are. Today it’s easier to embrace masculinity in so many different things. I definitely find – through music, writing, talking with friends and being open – that some of the times when I feel most confident is when I’m allowing myself to be vulnerable. It’s something that I definitely try and do.","anger,fear,optimism,amusement,sadness,curiosity,remorse,joy,disappointment,annoyance,love,admiration,confusion"
Show must go on!,
"I'm not crazy, my reality is just different than yours.",love
Only those who will risk going too far can possibly find out how far one can go.,"optimism,disappointment,annoyance,curiosity,love,admiration"
"Since the tree is useless on its own without the support of the roots, you must help out your fellow friend to keep humanity alive throughout every generation.","optimism,disappointment,sadness,annoyance,admiration"
"Books are my friends, my companions. They make me laugh and cry and find meaning in life.","joy,amusement,optimism,love,annoyance,admiration"
I'm possessed by love — but isn't everybody?,"joy,love,curiosity"
"If you could say it in words, there would be no reason to paint.",disappointment
"Life ain't a rehearsal, the camera's always rolling",admiration
"Think highly of yourself, that's how you get to the top",admiration
"The least I can do is speak out for the hundreds of chimpanzees who, right now, sit hunched, miserable and without hope, staring out with dead eyes from their metal prisons. They cannot speak for themselves.","optimism,amusement,sadness,annoyance,admiration,gratitude"
The only normal people are the ones you don't know very well.,"admiration,optimism,disappointment"
"Did you ever stop to notice
All the children dead from war?
Did you ever stop to notice
This crying earth, these weeping shores?","amusement,annoyance,curiosity"
"Some of them are funny. Some of them are ridiculous. Some of them are annoying. I don't want to be one of those people that complains about the rumours. I never like it when a celebrity goes on Twitter and says, ""This isn't true!""","desire,annoyance"
"If people talk behind your back, it's because you're ahead of them.",
"When I try, I fail.
When I trust,
He succeeds.","anger,disappointment,sadness,annoyance,love,realization"
"Though thou loved her as thyself,
As a self of purer clay,
Tho' her parting dims the day,
Stealing grace from all alive,
Heartily know,
When half-gods go,
The gods arrive.","admiration,joy,love"
"You can have everything in the world and still be the loneliest man. And that is the most bitter type of loneliness, success has brought me world idolisation and millions of pounds. But it's prevented me from having the one thing we all need: A loving, ongoing relationship.","joy,disappointment,sadness,love,desire,confusion,curiosity"
"C4 to your door, no beef no more.","admiration,joy,amusement"
"Knowledge is a desire that comes after acquiring power. The first type of desire is love, then wealth, health, power and knowledge.","joy,admiration,love,desire,confusion,gratitude"
"A slave dreams of freedom, a free man dreams of wealth, the wealthy dream of power, and the powerful dream of freedom.",realization
"Do not be afraid of your difficulties. Do not wish you could be in other circumstances than you are. For when you have made the best of an adversity, it becomes the stepping stone to a splendid opportunity.",
We do not surrender — we win or die.,admiration
People really need help but may attack you if you help them. Help people anyway!,"disappointment,annoyance"
The end of the chapter is the beginning of the new chapter.,"anger,realization,disgust,disappointment,sadness,annoyance,embarrassment"
"Just because you read it in a magazine,
Or see it on a TV screen
Don't make it factual.","disappointment,sadness,annoyance"
"Struggle is the father of all things. It is not by the principles of humanity that man lives or is able to preserve himself above the animal world, but solely by means of the most brutal struggle.","optimism,sadness,curiosity,joy,disappointment,love,annoyance,admiration,confusion"
"Lots of people want to ride with you in the limo, but what you want is someone who will take the bus with you when the limo breaks down.","anger,optimism,curiosity,desire,joy,love,annoyance,confusion,surprise,realization"
Just because so many things are in conflict does not mean that we ourselves should be divided.,"joy,admiration,optimism,love"
Man invented clothing to cover the superficial and to discover the inside.,"realization,sadness"
"Somebody, after all, had to make a start. What we wrote and said is also believed by many others. They just don't dare express themselves as we did.","fear,optimism"
